HOG	OG	Gene Tree Parent Clade	aip_longest_isoforms	nvec_longest_isoform	spis_longest_isoform_marker	xenia_longest_isoforms
N2.HOG0000000	OG0000002	n0	XP_028514806.1			
N2.HOG0000001	OG0000006	n1		XP_048584888.1		
N2.HOG0000002	OG0000006	n34	XP_020908294.1	XP_048584948.1		
N2.HOG0000003	OG0000006	n103		XP_048587198.1		
N2.HOG0000004	OG0000007	n1	XP_020908124.1			
N2.HOG0000005	OG0000007	n4	XP_020908123.1	XP_001632732.3		
N2.HOG0000006	OG0000011	n0	XP_020911832.1			
N2.HOG0000007	OG0000012	n1	XP_028517823.1	XP_048590314.1		
N2.HOG0000008	OG0000012	n25	XP_028518083.1, XP_020917011.1, XP_028515662.1			
N2.HOG0000009	OG0000015	n2	XP_020898206.1	XP_001624434.2		
N2.HOG0000010	OG0000015	n4	XP_028516950.1	XP_032221175.2		
N2.HOG0000011	OG0000015	n29	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1	XP_048582340.1		
N2.HOG0000012	OG0000015	n65	XP_020901662.1	XP_001632454.3		
N2.HOG0000013	OG0000015	n67	XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1	XP_032236054.2		
N2.HOG0000014	OG0000018	n1	XP_020895312.1	XP_001629721.2		
N2.HOG0000015	OG0000018	n30	XP_028515739.1	XP_032220304.2		
N2.HOG0000016	OG0000018	n32	XP_020892825.1, XP_020903733.1			
N2.HOG0000017	OG0000023	n0		XP_032236937.2		
N2.HOG0000018	OG0000024	n0	XP_020914148.1, XP_020912409.1, XP_020917632.2, XP_028517543.1, XP_020916977.2, XP_020894801.1, XP_020916933.2, XP_028517470.1, XP_020898431.1, XP_028512560.1, XP_028517490.1, XP_020905704.1, XP_028513667.1, XP_028517240.1, XP_020907488.1, XP_020892684.1, XP_028517856.1, XP_028517921.1, XP_020896578.1, XP_020912857.1, XP_028517235.1, XP_020904259.2, XP_020908470.1, XP_028518952.1, XP_020914626.1, XP_020896575.1, XP_020911658.1, XP_020916972.1, XP_020896191.1, XP_020904710.1, XP_020906624.1, XP_020913821.1, XP_020917149.1, XP_020905170.1, XP_020911640.1, XP_028517758.1, XP_020898253.1, XP_020906506.1, XP_028518097.1, XP_020900120.1, XP_020904669.1, XP_020910727.1, XP_028517737.1, XP_020917795.1, XP_020913295.1, XP_020908907.1, XP_028517234.1, XP_020901497.2, XP_020911549.1, XP_028516277.1, XP_020896190.1, XP_020912851.1, XP_020912177.1, XP_020913822.1, XP_028514638.1, XP_020912897.1, XP_020916931.1, XP_020916937.1, XP_020898432.1, XP_028517542.1, XP_028515037.1, XP_028516251.1, XP_020894404.2, XP_028518860.1, XP_020897036.1			
